e, spectrum, unc
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,7.532458792750782464e+18,2.084931378299343586e+09
2.000000000000000042e-02,6.564696631079027712e+18,1.872424493476108551e+09
2.999999999999999889e-02,5.023847994348995584e+18,1.253088652663389921e+09
4.000000000000000083e-02,4.326217203476467712e+18,1.163939432713270903e+09
5.000000000000000278e-02,5.079068157587584000e+18,4.377320499744188786e+08
5.999999999999999778e-02,5.975056786171730944e+18,4.627559878447642326e+08
7.000000000000000666e-02,6.802284889912517632e+18,4.957379522607918978e+08
8.000000000000000167e-02,7.537289224186550272e+18,5.109986902307330370e+08
8.999999999999999667e-02,7.330712707254511616e+18,4.349839379036533833e+08
1.000000000000000056e-01,8.001483550599158784e+18,4.622595657566587925e+08
1.100000000000000006e-01,8.551688506346020864e+18,4.895779567996191382e+08
1.199999999999999956e-01,9.168233897816107008e+18,5.258049931510762572e+08
1.300000000000000044e-01,9.794109746725404672e+18,5.619845461882892847e+08
1.400000000000000133e-01,1.036945314032405914e+19,5.991908338272558451e+08
1.499999999999999944e-01,1.077289098896047514e+19,6.297287997723259926e+08
1.600000000000000033e-01,8.506966727052839936e+18,6.629386057352502346e+08
1.700000000000000122e-01,8.829594236023037952e+18,6.951209411332209110e+08
1.799999999999999933e-01,9.158943623505898496e+18,7.258685570990824699e+08
1.900000000000000022e-01,9.487445063183534080e+18,7.553865886278985739e+08
2.000000000000000111e-01,9.808260846948231168e+18,7.837343998142775297e+08
2.099999999999999922e-01,1.011295156573941350e+19,8.122973902045423985e+08
2.200000000000000011e-01,9.635229931214528512e+18,8.391980965581827164e+08
2.300000000000000100e-01,9.590533225646460928e+18,7.731795995551620722e+08
2.399999999999999911e-01,8.831747258760808448e+18,4.738736304266421199e+08
2.500000000000000000e-01,8.944475412062300160e+18,4.830531922272203565e+08
2.600000000000000089e-01,8.861940178162141184e+18,4.937795239564150572e+08
2.700000000000000178e-01,8.087062425983249408e+18,5.058432635875827074e+08
2.800000000000000266e-01,8.001227063026692096e+18,5.101609721696415544e+08
2.899999999999999800e-01,7.692964633091266560e+18,5.199814465127944946e+08
2.999999999999999889e-01,7.396800528835391488e+18,5.280664882786801457e+08
3.099999999999999978e-01,7.528485424616729600e+18,5.392897364138318300e+08
3.200000000000000067e-01,7.659969673276822528e+18,5.487917693311780691e+08
3.300000000000000155e-01,7.760300515187773440e+18,5.598675517396177053e+08
3.400000000000000244e-01,7.175568545664025600e+18,5.697844307374234200e+08
3.500000000000000333e-01,6.874673110039899136e+18,5.760170063166679144e+08
3.599999999999999867e-01,6.696848069816589312e+18,5.897684882866488695e+08
3.699999999999999956e-01,6.451826205715056640e+18,5.930125811974023581e+08
3.800000000000000044e-01,6.526528428381450240e+18,5.989300236291069984e+08
3.900000000000000133e-01,6.551335434514451456e+18,6.009094221323570013e+08
4.000000000000000222e-01,6.539670555689391104e+18,5.719992712519876957e+08
4.100000000000000311e-01,6.546364063398913024e+18,5.442339183329832554e+08
4.199999999999999845e-01,6.616914866394195968e+18,5.528183936752357483e+08
4.299999999999999933e-01,6.611258517836934144e+18,5.642462897554601431e+08
4.400000000000000022e-01,6.612825925499809792e+18,5.678909232140256166e+08
4.500000000000000111e-01,6.681184777931559936e+18,5.779742717309893370e+08
4.600000000000000200e-01,6.727891571880210432e+18,5.775330115837352276e+08
4.700000000000000289e-01,6.799658773936588800e+18,5.865926011308666468e+08
4.799999999999999822e-01,6.872896462824850432e+18,5.836193683568103313e+08
4.899999999999999911e-01,6.944615956162392064e+18,5.871860538785728216e+08
5.000000000000000000e-01,7.011848625884457984e+18,5.939235841771554947e+08
5.100000000000000089e-01,7.067562433406170112e+18,6.157193576454725266e+08
5.200000000000000178e-01,6.976736586258035712e+18,6.335768690734149218e+08
5.300000000000000266e-01,6.860490546690356224e+18,6.312108743575116396e+08
5.400000000000000355e-01,6.528569669768280064e+18,6.031245815556935072e+08
5.500000000000000444e-01,6.556240171418695680e+18,6.046373797072656155e+08
5.600000000000000533e-01,6.575953698027451392e+18,6.210631865443344116e+08
5.700000000000000622e-01,6.596473335854802944e+18,6.223791574898521900e+08
5.799999999999999600e-01,6.635127656749886464e+18,6.200956395796384811e+08
5.899999999999999689e-01,6.689848927380719616e+18,6.202787457401074171e+08
5.999999999999999778e-01,6.614523209676529664e+18,6.093559557669022083e+08
6.099999999999999867e-01,6.355568366311976960e+18,4.574716598012371659e+08
6.199999999999999956e-01,6.396634136618874880e+18,4.524834919624114633e+08
6.300000000000000044e-01,6.418600587304494080e+18,4.646329951429432631e+08
6.400000000000000133e-01,6.451599196690580480e+18,4.535420447570871115e+08
6.500000000000000222e-01,6.429775711434440704e+18,4.620585856963638067e+08
6.600000000000000311e-01,6.438604038933797888e+18,4.586309994727357030e+08
6.700000000000000400e-01,6.468303757412598784e+18,4.542422567288882136e+08
6.800000000000000488e-01,6.451605161055525888e+18,4.469831022822885513e+08
6.900000000000000577e-01,6.466080552695606272e+18,4.527250302601752877e+08
7.000000000000000666e-01,6.475014097057751040e+18,4.450249537833753228e+08
